Sample in Buffer,Sample in Window,TRIGGER,i_system_wrapper/system_i/ZynqBF_2t_ip_0/inst/u_ZynqBF_2t_ip_dut_inst/u_ZynqBF_2t_ip_src_ZynqBF_2tx_fpga/u_channel_estimator/u_correlators/ch1_corr_probe[31:0],i_system_wrapper/system_i/ZynqBF_2t_ip_0/inst/u_ZynqBF_2t_ip_dut_inst/u_ZynqBF_2t_ip_src_ZynqBF_2tx_fpga/u_channel_estimator/u_correlators/ch2_corr_probe[31:0],i_system_wrapper/system_i/ZynqBF_2t_ip_0/inst/u_ZynqBF_2t_ip_dut_inst/u_ZynqBF_2t_ip_src_ZynqBF_2tx_fpga/u_channel_estimator/u_correlators/ch3_corr_probe[31:0],i_system_wrapper/system_i/ZynqBF_2t_ip_0/inst/u_ZynqBF_2t_ip_dut_inst/u_ZynqBF_2t_ip_src_ZynqBF_2tx_fpga/u_channel_estimator/u_correlators/ch5_corr_probe[31:0],i_system_wrapper/system_i/ZynqBF_2t_ip_0/inst/u_ZynqBF_2t_ip_dut_inst/u_ZynqBF_2t_ip_src_ZynqBF_2tx_fpga/u_channel_estimator/u_correlators/ch4_corr_probe[31:0]
157,157,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
158,158,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
159,159,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
160,160,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
161,161,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
162,162,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
163,163,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
164,164,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
165,165,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
166,166,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
167,167,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
168,168,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
169,169,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
170,170,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
171,171,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
172,172,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
173,173,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
174,174,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
175,175,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
176,176,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
177,177,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
178,178,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
179,179,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
180,180,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
181,181,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
182,182,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
183,183,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
184,184,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
185,185,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
186,186,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
187,187,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
188,188,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
189,189,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
190,190,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
191,191,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
192,192,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
193,193,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
194,194,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
195,195,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
196,196,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
197,197,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
198,198,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
199,199,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
200,200,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
201,201,0,00014f2a,00077c96,0002fc86,0006041a,0002fb16
202,202,0,00013066,0007c18a,0002d0d0,000673a8,00031286
203,203,0,00013066,0007c18a,0002d0d0,000673a8,00031286
204,204,0,00013066,0007c18a,0002d0d0,000673a8,00031286
205,205,0,00013066,0007c18a,0002d0d0,000673a8,00031286
206,206,0,00013066,0007c18a,0002d0d0,000673a8,00031286
207,207,0,00013066,0007c18a,0002d0d0,000673a8,00031286
208,208,0,00013066,0007c18a,0002d0d0,000673a8,00031286
209,209,0,00013066,0007c18a,0002d0d0,000673a8,00031286
210,210,0,00013066,0007c18a,0002d0d0,000673a8,00031286
211,211,0,00013066,0007c18a,0002d0d0,000673a8,00031286
212,212,0,00013066,0007c18a,0002d0d0,000673a8,00031286
213,213,0,00013066,0007c18a,0002d0d0,000673a8,00031286
214,214,0,00013066,0007c18a,0002d0d0,000673a8,00031286
215,215,0,00013066,0007c18a,0002d0d0,000673a8,00031286
216,216,0,00013066,0007c18a,0002d0d0,000673a8,00031286
217,217,0,00013066,0007c18a,0002d0d0,000673a8,00031286
218,218,0,00013066,0007c18a,0002d0d0,000673a8,00031286
219,219,0,00013066,0007c18a,0002d0d0,000673a8,00031286
220,220,0,00013066,0007c18a,0002d0d0,000673a8,00031286
221,221,0,00013066,0007c18a,0002d0d0,000673a8,00031286
222,222,0,00013066,0007c18a,0002d0d0,000673a8,00031286
223,223,0,00013066,0007c18a,0002d0d0,000673a8,00031286
224,224,0,00013066,0007c18a,0002d0d0,000673a8,00031286
225,225,0,00013066,0007c18a,0002d0d0,000673a8,00031286
226,226,0,00013066,0007c18a,0002d0d0,000673a8,00031286
227,227,0,00013066,0007c18a,0002d0d0,000673a8,00031286
228,228,0,00013066,0007c18a,0002d0d0,000673a8,00031286
229,229,0,00013066,0007c18a,0002d0d0,000673a8,00031286
230,230,0,00013066,0007c18a,0002d0d0,000673a8,00031286
231,231,0,00013066,0007c18a,0002d0d0,000673a8,00031286
232,232,0,00013066,0007c18a,0002d0d0,000673a8,00031286
233,233,0,00013066,0007c18a,0002d0d0,000673a8,00031286
234,234,0,00013066,0007c18a,0002d0d0,000673a8,00031286
235,235,0,00013066,0007c18a,0002d0d0,000673a8,00031286
236,236,0,00013066,0007c18a,0002d0d0,000673a8,00031286
237,237,0,00013066,0007c18a,0002d0d0,000673a8,00031286
238,238,0,00013066,0007c18a,0002d0d0,000673a8,00031286
239,239,0,00013066,0007c18a,0002d0d0,000673a8,00031286
240,240,0,00013066,0007c18a,0002d0d0,000673a8,00031286
241,241,0,00013066,0007c18a,0002d0d0,000673a8,00031286
242,242,0,00013066,0007c18a,0002d0d0,000673a8,00031286
243,243,0,00013066,0007c18a,0002d0d0,000673a8,00031286
244,244,0,00013066,0007c18a,0002d0d0,000673a8,00031286
245,245,0,00013066,0007c18a,0002d0d0,000673a8,00031286
246,246,0,00013066,0007c18a,0002d0d0,000673a8,00031286
247,247,0,00013066,0007c18a,0002d0d0,000673a8,00031286
248,248,0,00013066,0007c18a,0002d0d0,000673a8,00031286
249,249,0,00013066,0007c18a,0002d0d0,000673a8,00031286
250,250,0,00013066,0007c18a,0002d0d0,000673a8,00031286
251,251,0,00013066,0007c18a,0002d0d0,000673a8,00031286
252,252,0,00013066,0007c18a,0002d0d0,000673a8,00031286
253,253,0,00013066,0007c18a,0002d0d0,000673a8,00031286
254,254,0,00013066,0007c18a,0002d0d0,000673a8,00031286
255,255,0,00013066,0007c18a,0002d0d0,000673a8,00031286
256,256,0,00013066,0007c18a,0002d0d0,000673a8,00031286
257,257,0,00013066,0007c18a,0002d0d0,000673a8,00031286
258,258,0,00013066,0007c18a,0002d0d0,000673a8,00031286
259,259,0,00013066,0007c18a,0002d0d0,000673a8,00031286
260,260,0,00013066,0007c18a,0002d0d0,000673a8,00031286
261,261,0,00013066,0007c18a,0002d0d0,000673a8,00031286
262,262,0,00013066,0007c18a,0002d0d0,000673a8,00031286
263,263,0,00013066,0007c18a,0002d0d0,000673a8,00031286
264,264,0,00013066,0007c18a,0002d0d0,000673a8,00031286
265,265,0,00013066,0007c18a,0002d0d0,000673a8,00031286
266,266,0,00013066,0007c18a,0002d0d0,000673a8,00031286
267,267,0,00013066,0007c18a,0002d0d0,000673a8,00031286
268,268,0,00013066,0007c18a,0002d0d0,000673a8,00031286
269,269,0,00013066,0007c18a,0002d0d0,000673a8,00031286
270,270,0,00013066,0007c18a,0002d0d0,000673a8,00031286
271,271,0,00013066,0007c18a,0002d0d0,000673a8,00031286
272,272,0,00013066,0007c18a,0002d0d0,000673a8,00031286
273,273,0,00013066,0007c18a,0002d0d0,000673a8,00031286
274,274,0,00013066,0007c18a,0002d0d0,000673a8,00031286
